attendance_id,dli_number,parade_date,attendance_status,late_status,excused_leave
ATT03603,DLI23SDA000036,2025-10-05,Present,no,No
ATT07360,DLI24SDA000042,2025-01-05,Present,no,No
ATT08707,DLI24SDA000068,2026-01-31,Present,N,NO
ATT00291,DLI22SDA000011,2025-02-01,Present,No,no
ATT10620,DLI26SDA000032,2026-07-25,Present,no,NO
ATT09529,DLI25SDA000030,2026-01-31,Absent,N,No
ATT08465,DLI24SDA000064,2024-08-08,Present,NO,No
ATT02558,DLI23SDA000014,2026-03-28,Present,N,no
ATT08921,DLI25SDA000005,2025-09-28,Absent,N,No
ATT05725,DLI24SDA000010,2024-11-30,Present,No,no
ATT07696,DLI24SDA000048,2026-07-11,Present,No,NO
ATT00044,DLI22SDA000002,2024-12-07,Present,no,NO
ATT00876,DLI22SDA000033,2024-10-26,Present,no,No
ATT06053,DLI24SDA000016,2026-01-17,Present,No,NO
ATT09137,DLI25SDA000014,2025-09-28,Present,N,N
ATT02661,DLI23SDA000017,2024-08-17,Present,NO,No
ATT02768,DLI23SDA000019,2024-11-10,present,NO,No
ATT08327,DLI24SDA000061,2024-12-07,Present,No,NO
ATT07055,DLI24SDA000036,2025-01-26,Present,No,no
ATT08127,DLI24SDA000057,2025-02-01,Present,NO,no
ATT04171,DLI23SDA000048,2025-04-27,Present,No,No
ATT09028,DLI25SDA000009,2026-03-21,Absent,No,No
ATT01287,DLI22SDA000048,2024-12-15,Present,no,No
ATT00666,DLI22SDA000025,2024-12-15,Absent,No,No
ATT04061,DLI23SDA000046,2024-10-20,Present,NO,No
ATT01236,DLI22SDA000046,2025-02-01,A,No,Yes
ATT07229,DLI24SDA000039,2026-02-08,Present,NO,No
ATT08671,DLI24SDA000068,2024-08-24,Present,no,N
ATT10432,DLI25SDA000068,2025-09-21,Present,NO,No
ATT06662,DLI24SDA000028,2025-11-15,Present,No,No
ATT06369,DLI24SDA000022,2026-05-17,Present,N,NO
ATT09383,DLI25SDA000024,2026-01-17,Present,Yes,no
ATT01183,DLI22SDA000044,2025-03-02,PRESENT,no,no
ATT01475,DLI22SDA000055,2024-12-07,Present,NO,no
ATT00448,DLI22SDA000017,2024-11-30,Present,No,no
ATT08620,DLI24SDA000067,2024-08-24,Present,no,N
ATT10765,DLI23SDA009802,2026-02-28,PRESENT,N,N
ATT04726,DLI23SDA000060,2024-08-24,Present,N,N
ATT09705,DLI25SDA000037,2026-05-17,Present,N,No
ATT04846,DLI23SDA000062,2025-08-17,Present,no,No
ATT02332,DLI23SDA000010,2024-10-13,Absent,No,N
ATT03525,DLI23SDA000035,2024-08-17,Absent,N,no
ATT08702,DLI24SDA000068,2025-11-15,Present,No,no
ATT08253,DLI24SDA000059,2026-04-18,Present,NO,N
ATT05048,DLI23SDA000066,2026-01-17,Present,NO,N
ATT03587,DLI23SDA000036,2024-12-07,Present,N,no
ATT05066,DLI23SDA000067,2024-09-22,Absent,N,NO
ATT00217,DLI22SDA000009,2024-08-04,Present,no,NO
ATT05132,DLI23SDA000068,2025-05-03,Present,No,NO
ATT04331,DLI23SDA000051,2026-02-08,P,no,N
ATT01396,DLI22SDA000052,2025-01-05,Present,no,No
ATT06301,DLI24SDA000021,2025-09-21,Present,No,no
ATT08732,DLI24SDA000069,2024-11-10,Present,NO,No
ATT06574,DLI24SDA000026,2026-07-11,Present,No,No
ATT01438,DLI22SDA000054,2024-09-14,Present,No,NO
ATT02776,DLI23SDA000019,2025-03-02,Present,No,no
ATT06528,DLI24SDA000026,2024-08-17,Present,No,NO
ATT01322,DLI22SDA000049,2025-05-03,Present,No,No
ATT05372,DLI24SDA000003,2025-01-26,Present,N,N
ATT06340,DLI24SDA000022,2025-01-05,Present,N,NO
ATT02350,DLI23SDA000010,2025-08-17,Absent,No,NO
ATT10138,DLI25SDA000055,2026-07-11,Absent,No,no
ATT02429,DLI23SDA000012,2024-10-20,Present,no,N
ATT05887,DLI24SDA000013,2025-04-27,Present,NO,N
ATT02349,DLI23SDA000010,2025-05-10,Present,No,N
ATT10127,DLI25SDA000055,2026-01-17,Present,No,no
ATT01224,DLI22SDA000046,2024-10-04,A,NO,No
ATT01863,DLI22SDA000069,2025-05-10,Present,No,NO
ATT03411,DLI23SDA000032,2025-10-05,Absent,No,YES
ATT02013,DLI23SDA000003,2025-05-10,Present,No,No
ATT05345,DLI24SDA000002,2026-03-28,Present,No,no
ATT02472,DLI23SDA000013,2024-09-08,Present,YES,No
ATT03006,DLI23SDA000024,2024-10-26,Present,No,no
ATT10538,DLI26SDA000005,2026-07-18,Present,No,No
ATT07401,DLI24SDA000043,2024-10-04,Present,No,no
ATT07323,DLI24SDA000041,2025-10-05,Present,N,N
ATT09269,DLI25SDA000019,2026-03-28,Present,NO,N
ATT00957,DLI22SDA000036,2024-10-26,P,No,No
ATT08185,DLI24SDA000058,2025-08-17,Present,N,No
ATT08768,DLI24SDA000069,2026-07-18,Present,Yes,NO
ATT03842,DLI23SDA000041,2025-09-28,Present,NO,No
ATT10908,DLI25SDA008572,2026-02-08,PRESENT,yes,Y
ATT05947,DLI24SDA000014,2025-10-16,Present,No,NO
ATT09818,DLI25SDA000042,2026-02-08,Present,NO,NO
ATT03622,DLI23SDA000037,2024-08-24,Present,YES,No
ATT07748,DLI24SDA000049,2026-07-18,Present,N,no
ATT08683,DLI24SDA000068,2024-11-30,Absent,No,no
ATT01423,DLI22SDA000053,2025-01-05,Present,No,N
ATT00021,DLI22SDA000001,2025-02-01,Present,no,No
ATT03396,DLI23SDA000032,2024-12-15,Present,No,NO
ATT07112,DLI24SDA000037,2025-05-03,present,no,N
ATT02978,DLI23SDA000023,2025-09-28,P,No,No
ATT06209,DLI24SDA000019,2026-02-08,Present,N,N
ATT02942,DLI23SDA000022,2026-03-28,Present,NO,No
ATT00994,DLI22SDA000037,2025-03-02,Present,No,no
ATT10096,DLI25SDA000054,2025-09-21,Present,no,no
ATT07045,DLI24SDA000036,2024-10-13,Absent,NO,NO
ATT09946,DLI25SDA000047,2026-07-11,Present,No,no
ATT02717,DLI23SDA000018,2024-10-20,Present,NO,no
ATT05776,DLI24SDA000011,2024-11-30,P,No,NO
ATT07717,DLI24SDA000049,2025-01-05,Present,no,No
ATT03180,DLI23SDA000027,2026-02-28,Present,NO,no
ATT01639,DLI22SDA000061,2025-01-05,Present,no,No
ATT05468,DLI24SDA000005,2024-11-10,present,N,NO
ATT10931,DLI23SDA009983,2025-03-02,P,Yes,N
ATT07332,DLI24SDA000041,2026-02-28,Absent,NO,No
ATT08442,DLI24SDA000063,2025-09-06,Present,no,NO
ATT00706,DLI22SDA000027,2024-08-24,Present,NO,N
ATT06965,DLI24SDA000034,2025-09-28,Absent,no,N
ATT05983,DLI24SDA000015,2025-01-05,Absent,No,NO
ATT03052,DLI23SDA000025,2024-10-13,Present,no,NO
ATT04505,DLI23SDA000055,2025-03-29,Present,no,No
ATT05428,DLI24SDA000004,2025-04-27,Present,no,No
ATT03417,DLI23SDA000032,2026-01-24,Present,No,No
ATT03290,DLI23SDA000030,2024-09-22,Present,No,No
ATT05466,DLI24SDA000005,2024-10-26,Present,no,NO
ATT03599,DLI23SDA000036,2025-08-24,Present,No,N
ATT00692,DLI22SDA000026,2024-12-07,Present,No,N
ATT09649,DLI25SDA000035,2026-01-31,Present,No,No
ATT08295,DLI24SDA000060,2025-12-08,Absent,N,N
ATT02256,DLI23SDA000008,2025-09-06,Present,No,No
ATT05770,DLI24SDA000011,2024-10-13,Present,N,No
ATT03865,DLI23SDA000042,2024-09-14,Present,No,no
ATT04997,DLI23SDA000065,2025-11-15,Present,yes,NO
ATT07225,DLI24SDA000039,2026-01-03,Present,No,NO
ATT06101,DLI24SDA000017,2025-11-15,Present,NO,No
